Name	Ion_mode	Charge	xM	AddAt	RemAt	AddEx	RemEx	Nelec	Rule	Info
[M+3Na]3+	positive	3	1			Na3		-3	Nacc>2 AND Nch=0	
[M+H+2Na]3+	positive	3	1			Na2H1		-3	Nacc>2 AND Nch=0	
[M+2H+Na]3+	positive	3	1			Na1H2		-3	Nacc>2 AND Nch=0	
[M+3H]3+	positive	3	1			H3		-3	Nacc>2 AND Nch=0	
[2M+3H2O+2H]2+	positive	2	2			H8O3		-2	Nacc>1 AND Nch=0	
[M+3ACN+2H]2+	positive	2	1			C6H11N3		-2	Nacc>1 AND Nch=0	
[M+2ACN+2H]2+	positive	2	1			C4H8N2		-2	Nacc>1 AND Nch=0	
[M+2Na]2+	positive	2	1			Na2		-2	Nacc>1 AND Nch=0	
[M+ACN+2H]2+	positive	2	1			C2H5N1		-2	Nacc>1 AND Nch=0	
[M+H+K]2+	positive	2	1			K1H1		-2	Nacc>1 AND Nch=0	
[M+H+Na]2+	positive	2	1			Na1H1		-2	Nacc>1 AND Nch=0	
[M+H+NH4]2+	positive	2	1			N1H5		-2	Nacc>1 AND Nch=0	
[M+2H]2+	positive	2	1			H2		-2	Nacc>1 AND Nch=0	
[M+2H-H2O-NH3]2+	positive	2	1		N1H2		O1H1	-2	Nnhh>0 AND Noh>0 AND Nch=0	
[2M+ACN+Na]1+	positive	1	2			C2H3Na1N1		-1	Nacc>0 AND Nch=0	
[2M+ACN+H]1+	positive	1	2			C2H4N1		-1	Nacc>0 AND Nch=0	
[2M+K]1+	positive	1	2			K1		-1	Nacc>0 AND Nch=0	
[2M+Na]1+	positive	1	2			Na1		-1	Nacc>0 AND Nch=0	
[2M+NH4]1+	positive	1	2			N1H4		-1	Nacc>0 AND Nch=0	
[2M+H]1+	positive	1	2			H1		-1	Nacc>0 AND Nch=0	
[M+IsoProp+Na+H]1+	positive	1	1			C3H9O1Na1		-1	Nacc>0 AND Nch=0	
[M+2ACN+H]1+	positive	1	1			C4H7N2		-1	Nacc>0 AND Nch=0	
[M+DMSO+H]1+	positive	1	1			C2H6OS1		-1	Nacc>0 AND Nch=0	
[M+2K-H]1+	positive	1	1			K2	H1	-1	Ndon>0 AND Nch=0	
[M+ACN+Na]1+	positive	1	1			C2H3Na1N1		-1	Nacc>0 AND Nch=0	
[M+IsoProp+H]1+	positive	1	1			C3H9O1Na1		-1	Nacc>0 AND Nch=0	
[M+2Na-H]1+	positive	1	1			Na2	H1	-1	Ndon>0 AND Nch=0	
[M+ACN+H]1+	positive	1	1			C2H4N1		-1	Nacc>0 AND Nch=0	
[M+K]1+	positive	1	1			K1		-1	Nacc>0 AND Nch=0	
[M+H+CH3OH]1+	positive	1	1			C1H5O1		-1	Ndon>0 AND Nch=0	
[M+Na]1+	positive	1	1			Na1		-1	Nacc>0 AND Nch=0	
[M+NH4]1+	positive	1	1			N1H4		-1	Nacc>0 AND Nch=0	
[M+H]1+	positive	1	1			H1		-1	Nacc>0 AND Nch=0	
[M1+.]1+	positive	1	1					0	Nch=1	
[M+H-NH3]1+	positive	1	1		N1H2			-1	Nnhh>0 AND Nch=0	
[M+H-H2O]1+	positive	1	1		O1H1			-1	Noh>0 AND Nch=0	
[M+H-FA]1+	positive	1	1		C1H1O2			-1	Ncooh>0 AND Nch=0	
M	positive	1	1					0	Nch=0	
[M+GLUC+H]1+	positive	1	1			C6H10O6	H1	-1	Ngluc>0 AND Nch=0	
[3M-H]1-	negative	-1	3				H1	1	Ndon>0 AND Nch=0	
[2M+Hac-H]1-	negative	-1	2			C2H3O2		1	Ndon>0 AND Nch=0	
[2M+FA-H]1-	negative	-1	2			C1H1O2		1	Ndon>0 AND Nch=0	
[2M+Na-2H]1-	negative	-1	2			Na1	H2	1	Ndon>1 AND Nacc>0 AND Nch=0	
[2M-H]1-	negative	-1	2				H1	1	Ndon>0 AND Nch=0	
[M+TFA-H]1-	negative	-1	1			C2O2F3		1	Ndon>0 AND Nch=0	
[M+Br]1-	negative	-1	1			Br1		1	Nacc>0 AND Nch=0	
[M+Hac-H]1-	negative	-1	1			C2H3O2		1	Ndon>0 AND Nch=0	
[M+FA-H]1-	negative	-1	1			C1H1O2		1	Ndon>0 AND Nch=0	
[M+K-2H]1-	negative	-1	1			K1	H2	1	Ndon>1 AND Nacc>0 AND Nch=0	
[M+Cl]1-	negative	-1	1			Cl1		1	Nacc>0 AND Nch=0	
[M+Na-2H]1-	negative	-1	1			Na1	H2	1	Ndon>1 AND Nacc>0 AND Nch=0	
[M1-.]1-	negative	-1	1					0	Nch=-1	
[M-H]1-	negative	-1	1				H1	1	Ndon>0 AND Nch=0	
[M-2H]2-	negative	-2	1				H2	2	Ndon>1 AND Nch=0	
[M-3H]3-	negative	-3	1				H3	3	Ndon>2 AND Nch=0	
[M-H+GLUC]1-	negative	-1	1			C6H9O6	H2	1	Ngluc>0 AND Nch=0	https://link.springer.com/article/10.1007/s40495-016-0076-8, https://www.sciencedirect.com/topics/neuroscience/glucuronidation